station_name,type,latitude,longitude
ADMIRALTY MRT STATION,mrt,1.440585001,103.800988
ALJUNIED MRT STATION,mrt,1.316432612,103.882906
ANG MO KIO MRT STATION,mrt,1.369933175,103.8495581
BARTLEY MRT STATION,mrt,1.342501178,103.8801779
BAYFRONT MRT STATION,mrt,1.281873788,103.8590798
BAYSHORE MRT STATION,mrt,1.312591629,103.9409688
BEAUTY WORLD MRT STATION,mrt,1.341223176,103.7757943
BEDOK MRT STATION,mrt,1.323979969,103.9299845
BEDOK NORTH MRT STATION,mrt,1.334742117,103.9179783
BEDOK RESERVOIR MRT STATION,mrt,1.33660783,103.9322346
BEDOK SOUTH MRT STATION,mrt,1.31688894,103.9490653
BENCOOLEN MRT STATION,mrt,1.298918434,103.8503538
BENDEMEER MRT STATION,mrt,1.313672233,103.862978
BISHAN MRT STATION,mrt,1.35130868,103.8491544
BOON KENG MRT STATION,mrt,1.319335709,103.8615695
BOON LAY MRT STATION,mrt,1.338604055,103.7060646
BOTANIC GARDENS MRT STATION,mrt,1.322488071,103.816014
BRADDELL MRT STATION,mrt,1.340105207,103.8467559
BRAS BASAH MRT STATION,mrt,1.296861687,103.8506674
BRIGHT HILL MRT STATION,mrt,1.363671376,103.8336316
BUANGKOK MRT STATION,mrt,1.382877858,103.8931216
BUGIS MRT STATION,mrt,1.30026469,103.8556148
BUKIT BATOK MRT STATION,mrt,1.349034109,103.7495668
BUKIT BROWN MRT STATION,mrt,1.333728883,103.8306896
BUKIT GOMBAK MRT STATION,mrt,1.358611591,103.7517909
BUKIT PANJANG MRT STATION,mrt,1.379002117,103.7615351
BUONA VISTA MRT STATION,mrt,1.306634504,103.7907094
CALDECOTT MRT STATION,mrt,1.337674508,103.8395298
CANBERRA MRT STATION,mrt,1.443243716,103.8295781
CASHEW MRT STATION,mrt,1.369815449,103.7644392
CHANGI AIRPORT MRT STATION,mrt,1.357478975,103.9878836
CHINATOWN MRT STATION,mrt,1.284359578,103.8434268
CHINESE GARDEN MRT STATION,mrt,1.342352821,103.7325967
CHOA CHU KANG MRT STATION,mrt,1.385363165,103.7443708
CITY HALL MRT STATION,mrt,1.292936243,103.8525859
CLARKE QUAY MRT STATION,mrt,1.288386024,103.8465552
CLEMENTI MRT STATION,mrt,1.315201264,103.7651824
COMMONWEALTH MRT STATION,mrt,1.302508537,103.7982261
DAKOTA MRT STATION,mrt,1.308547984,103.8890647
DHOBY GHAUT MRT STATION,mrt,1.298701307,103.8461152
DOVER MRT STATION,mrt,1.311405293,103.7786378
DOWNTOWN MRT STATION,mrt,1.27944619,103.8528404
ESPLANADE MRT STATION,mrt,1.293657725,103.8550812
EUNOS MRT STATION,mrt,1.319838347,103.9036269
EXPO MRT STATION,mrt,1.335382137,103.9623757
FARRER PARK MRT STATION,mrt,1.311905574,103.8534777
FARRER ROAD MRT STATION,mrt,1.317439151,103.8073792
FORT CANNING MRT STATION,mrt,1.292478928,103.8443283
GARDENS BY THE BAY MRT STATION,mrt,1.279145673,103.8680247
GEYLANG BAHRU MRT STATION,mrt,1.321505838,103.8719006
GREAT WORLD MRT STATION,mrt,1.293814735,103.8337251
GUL CIRCLE MRT STATION,mrt,1.319505215,103.660553
HARBOURFRONT MRT STATION,mrt,1.265389384,103.8215302
HAW PAR VILLA MRT STATION,mrt,1.282571358,103.7817527
HILLVIEW MRT STATION,mrt,1.362344868,103.7674183
HOLLAND VILLAGE MRT STATION,mrt,1.312240296,103.7963991
HOUGANG MRT STATION,mrt,1.371292293,103.8923805
JALAN BESAR MRT STATION,mrt,1.305171388,103.8552957
JOO KOON MRT STATION,mrt,1.327717173,103.6783751
JURONG EAST MRT STATION,mrt,1.33315262,103.7422865
KAKI BUKIT MRT STATION,mrt,1.334967302,103.9084597
KALLANG MRT STATION,mrt,1.31148891,103.8713865
KATONG PARK MRT STATION,mrt,1.297947905,103.8860802
KEMBANGAN MRT STATION,mrt,1.321038249,103.9129494
KENT RIDGE MRT STATION,mrt,1.293536986,103.7845724
KHATIB MRT STATION,mrt,1.41738337,103.8329799
KING ALBERT PARK MRT STATION,mrt,1.335662762,103.7833991
